metric,value,unit,scope,status,reconstruction_method,evidence,notes
http_max_inflight,11,requests,"HTTP/client [request_start_ns, request_end_ns) profile overlap",Evidence,interval sweep from successful profiling request timestamps,public profile_export + canonical processed request table,Not an SGLang scheduler running-request count.
http_time_weighted_mean,3.968259088179123,requests,"HTTP/client [request_start_ns, request_end_ns) profile overlap",Evidence,interval sweep from successful profiling request timestamps,public profile_export + canonical processed request table,Not an SGLang scheduler running-request count.
http_p90,7.0,requests,"HTTP/client [request_start_ns, request_end_ns) profile overlap",Evidence,interval sweep from successful profiling request timestamps,public profile_export + canonical processed request table,Not an SGLang scheduler running-request count.
http_p95,8.0,requests,"HTTP/client [request_start_ns, request_end_ns) profile overlap",Evidence,interval sweep from successful profiling request timestamps,public profile_export + canonical processed request table,Not an SGLang scheduler running-request count.
prefill_worker_0_max_running,Unknown,requests,unique logical requests at one CP8 prefill worker,Unknown,withheld: TP/CP rank-local views lack request-ID union,raw 1-second rank grids plus SGLang CP8 source topology,The rank envelope is recorded separately; neither rank sum nor a unique worker count is proven.
prefill_worker_0_rank_envelope_max_running,5.0,rank-local counter,rank-envelope running requests,Strong inference,max over per-timeslice TP/CP rank envelope; no sum,raw 1-second prefill rank series,"Pressure evidence only, not a unique logical worker request count."
prefill_worker_0_max_waiting,Unknown,requests,unique logical requests at one CP8 prefill worker,Unknown,withheld: TP/CP rank-local views lack request-ID union,raw 1-second rank grids plus SGLang CP8 source topology,The rank envelope is recorded separately; neither rank sum nor a unique worker count is proven.
prefill_worker_0_rank_envelope_max_waiting,5.0,rank-local counter,rank-envelope queue requests,Strong inference,max over per-timeslice TP/CP rank envelope; no sum,raw 1-second prefill rank series,"Pressure evidence only, not a unique logical worker request count."
prefill_worker_1_max_running,Unknown,requests,unique logical requests at one CP8 prefill worker,Unknown,withheld: TP/CP rank-local views lack request-ID union,raw 1-second rank grids plus SGLang CP8 source topology,The rank envelope is recorded separately; neither rank sum nor a unique worker count is proven.
prefill_worker_1_rank_envelope_max_running,4.0,rank-local counter,rank-envelope running requests,Strong inference,max over per-timeslice TP/CP rank envelope; no sum,raw 1-second prefill rank series,"Pressure evidence only, not a unique logical worker request count."
prefill_worker_1_max_waiting,Unknown,requests,unique logical requests at one CP8 prefill worker,Unknown,withheld: TP/CP rank-local views lack request-ID union,raw 1-second rank grids plus SGLang CP8 source topology,The rank envelope is recorded separately; neither rank sum nor a unique worker count is proven.
prefill_worker_1_rank_envelope_max_waiting,5.0,rank-local counter,rank-envelope queue requests,Strong inference,max over per-timeslice TP/CP rank envelope; no sum,raw 1-second prefill rank series,"Pressure evidence only, not a unique logical worker request count."
prefill_cluster_max_running,Unknown,requests,two prefill workers' unique logical request union,Unknown,withheld: each CP8 worker unique union is unknown,prefill rank validation,Do not sum TP ranks or strong-inference rank envelopes across workers.
prefill_cluster_p50_running,Unknown,requests,two prefill workers' unique logical request union,Unknown,withheld: each CP8 worker unique union is unknown,prefill rank validation,Unknown is intentionally not converted to zero.
prefill_cluster_p90_running,Unknown,requests,two prefill workers' unique logical request union,Unknown,withheld: each CP8 worker unique union is unknown,prefill rank validation,Unknown is intentionally not converted to zero.
prefill_cluster_p95_running,Unknown,requests,two prefill workers' unique logical request union,Unknown,withheld: each CP8 worker unique union is unknown,prefill rank validation,Unknown is intentionally not converted to zero.
prefill_cluster_max_waiting,Unknown,requests,two prefill workers' unique logical request union,Unknown,withheld: each CP8 worker unique union is unknown,prefill rank validation,Do not sum TP ranks or strong-inference rank envelopes across workers.
prefill_cluster_p50_waiting,Unknown,requests,two prefill workers' unique logical request union,Unknown,withheld: each CP8 worker unique union is unknown,prefill rank validation,Unknown is intentionally not converted to zero.
prefill_cluster_p90_waiting,Unknown,requests,two prefill workers' unique logical request union,Unknown,withheld: each CP8 worker unique union is unknown,prefill rank validation,Unknown is intentionally not converted to zero.
prefill_cluster_p95_waiting,Unknown,requests,two prefill workers' unique logical request union,Unknown,withheld: each CP8 worker unique union is unknown,prefill rank validation,Unknown is intentionally not converted to zero.
prefill_cluster_waiting_positive_fraction,Unknown,fraction,two prefill workers' unique logical request union,Unknown,withheld: CP-rank queue counters cannot establish a unique worker union,prefill rank validation,Rank-local positive queue evidence exists but cluster positive fraction is not reconstructable.
decode_worker_0_max_running,9.0,requests,"one decode worker, sum of complete DP8 rank-local scheduler shards",Validated reconstruction,sum of validated independent rank-local scheduler shards,raw 1-second decode DP rank grids + SGLang DP attention source semantics,A logical request is assigned to one DP shard under the validated source mapping.
decode_worker_0_max_waiting,0.0,requests,"one decode worker, sum of complete DP8 rank-local scheduler shards",Validated reconstruction,sum of validated independent rank-local scheduler shards,raw 1-second decode DP rank grids + SGLang DP attention source semantics,A logical request is assigned to one DP shard under the validated source mapping.
decode_worker_1_max_running,10.0,requests,"one decode worker, sum of complete DP8 rank-local scheduler shards",Validated reconstruction,sum of validated independent rank-local scheduler shards,raw 1-second decode DP rank grids + SGLang DP attention source semantics,A logical request is assigned to one DP shard under the validated source mapping.
